CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
S72046N*1*Nondisp fx of base of nk of unsp femr, 7thN*Fractura no desplazada de la base del cuello del fémur no especificado, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con seudoartrosis
S72046P*1*Nondisp fx of base of nk of unsp femr, 7thP*Fractura no desplazada de la base del cuello del fémur no especificado, posterior encuentro por fractura cerrada con consolidación defectuosa
S72046Q*1*Nondisp fx of base of nk of unsp femr, 7thQ*Fractura no desplazada de la base del cuello del fémur no especificado, encuentro posterior por fractura abierta tipo I o II con consolidación defectuosa
S65409A*1*Unsp injury of blood vessel of unsp thumb, init encntr*Lesión no especificada de vaso sanguíneo del pulgar no especificado, encuentro inicial
S65409D*1*Unsp injury of blood vessel of unsp thumb, subs encntr*Lesión no especificada de vaso sanguíneo del pulgar no especificado, encuentro posterior
S65409S*1*Unsp injury of blood vessel of unspecified thumb, sequela*Lesión no especificada de vaso sanguíneo del pulgar no especificado, secuela
S6541*0*Laceration of blood vessel of thumb*Laceración del vaso sanguíneo del pulgar
S65411*0*Laceration of blood vessel of right thumb*Laceración del vaso sanguíneo del pulgar derecho
S65411A*1*Laceration of blood vessel of right thumb, initial encounter*Laceración del vaso sanguíneo del pulgar derecho, encuentro inicial
S65411D*1*Laceration of blood vessel of right thumb, subs encntr*Laceración del vaso sanguíneo del pulgar derecho, encuentro posterior
S65411S*1*Laceration of blood vessel of right thumb, sequela*Laceración de vaso sanguíneo del pulgar derecho, secuela
S65412*0*Laceration of blood vessel of left thumb*Laceración del vaso sanguíneo del pulgar izquierdo
S65412A*1*Laceration of blood vessel of left thumb, initial encounter*Laceración del vaso sanguíneo del pulgar izquierdo, encuentro inicial
S65412D*1*Laceration of blood vessel of left thumb, subs encntr*Laceración del vaso sanguíneo del pulgar izquierdo, encuentro posterior
S65412S*1*Laceration of blood vessel of left thumb, sequela*Laceración de vaso sanguíneo del pulgar izquierdo, secuela
S65419*0*Laceration of blood vessel of unspecified thumb*Laceración de vasos sanguíneos del pulgar no especificado
S65419A*1*Laceration of blood vessel of unspecified thumb, init encntr*Laceración de vaso sanguíneo del pulgar no especificado, encuentro inicial
S65419D*1*Laceration of blood vessel of unspecified thumb, subs encntr*Laceración de vaso sanguíneo del pulgar no especificado, encuentro posterior
S65419S*1*Laceration of blood vessel of unspecified thumb, sequela*Laceración de vasos sanguíneos del pulgar no especificado, secuela
S6549*0*Other specified injury of blood vessel of thumb*Otra lesión especificada del vaso sanguíneo del pulgar
S65491*0*Other specified injury of blood vessel of right thumb*Otra lesión especificada del vaso sanguíneo del pulgar derecho
S65491A*1*Oth injury of blood vessel of right thumb, init encntr*Otra lesión especificada del vaso sanguíneo del pulgar derecho, encuentro inicial
S65491D*1*Oth injury of blood vessel of right thumb, subs encntr*Otra lesión especificada del vaso sanguíneo del pulgar derecho, encuentro posterior
S65491S*1*Oth injury of blood vessel of right thumb, sequela*Otra lesión especificada del vaso sanguíneo del pulgar derecho, secuela
S65492*0*Other specified injury of blood vessel of left thumb*Otra lesión especificada del vaso sanguíneo del pulgar izquierdo
S65492A*1*Oth injury of blood vessel of left thumb, init encntr*Otra lesión especificada del vaso sanguíneo del pulgar izquierdo, encuentro inicial
S65492D*1*Oth injury of blood vessel of left thumb, subs encntr*Otra lesión especificada del vaso sanguíneo del pulgar izquierdo, encuentro posterior
S65492S*1*Oth injury of blood vessel of left thumb, sequela*Otra lesión especificada de vaso sanguíneo del pulgar izquierdo, secuela
S65499*0*Other specified injury of blood vessel of unspecified thumb*Otra lesión especificada de vaso sanguíneo del pulgar no especificado
S65499A*1*Oth injury of blood vessel of unspecified thumb, init encntr*Otra lesión especificada de vaso sanguíneo del pulgar no especificado, encuentro inicial
S65499D*1*Oth injury of blood vessel of unspecified thumb, subs encntr*Otra lesión especificada de vaso sanguíneo del pulgar no especificado, encuentro posterior
S65499S*1*Oth injury of blood vessel of unspecified thumb, sequela*Otra lesión especificada de vaso sanguíneo del pulgar no especificado, secuela
S655*0*Injury of blood vessel of other and unspecified finger*Traumatismo de vaso sanguíneo de otro dedo y el no especificado
S6550*0*Unsp injury of blood vessel of other and unspecified finger*Lesión no especificada de vaso sanguíneo de otro dedo y el no especificado
S65500*0*Unspecified injury of blood vessel of right index finger*Lesión no especificada de vaso sanguíneo del dedo índice derecho
S65500A*1*Unsp injury of blood vessel of right index finger, init*Lesión no especificada de vaso sanguíneo del dedo índice derecho, encuentro inicial
S65500D*1*Unsp injury of blood vessel of right index finger, subs*Lesión no especificada de vaso sanguíneo del dedo índice derecho, encuentro posterior
S65500S*1*Unsp injury of blood vessel of right index finger, sequela*Lesión no especificada de vaso sanguíneo del dedo índice derecho, secuela
S65501*0*Unspecified injury of blood vessel of left index finger*Lesión no especificada de vaso sanguíneo del dedo índice izquierdo
S65501A*1*Unsp injury of blood vessel of left index finger, init*Lesión no especificada de vaso sanguíneo del dedo índice izquierdo, encuentro inicial
S65501D*1*Unsp injury of blood vessel of left index finger, subs*Lesión no especificada de vaso sanguíneo del dedo índice izquierdo, encuentro posterior
S65501S*1*Unsp injury of blood vessel of left index finger, sequela*Lesión no especificada de vaso sanguíneo del dedo índice izquierdo, secuela
S65502*0*Unspecified injury of blood vessel of right middle finger*Lesión no especificada de vaso sanguíneo del dedo medio derecho
S65502A*1*Unsp injury of blood vessel of right middle finger, init*Lesión no especificada de vaso sanguíneo del dedo medio derecho, encuentro inicial
S65502D*1*Unsp injury of blood vessel of right middle finger, subs*Lesión no especificada de vaso sanguíneo del dedo medio derecho, encuentro posterior
S65502S*1*Unsp injury of blood vessel of right middle finger, sequela*Lesión no especificada de vaso sanguíneo del dedo medio derecho, secuela
S65503*0*Unspecified injury of blood vessel of left middle finger*Lesión no especificada de vaso sanguíneo del dedo medio izquierdo
S65503A*1*Unsp injury of blood vessel of left middle finger, init*Lesión no especificada de vaso sanguíneo del dedo medio izquierdo, encuentro inicial
S65503D*1*Unsp injury of blood vessel of left middle finger, subs*Lesión no especificada de vaso sanguíneo del dedo medio izquierdo, encuentro posterior
S65503S*1*Unsp injury of blood vessel of left middle finger, sequela*Lesión no especificada de vaso sanguíneo del dedo medio izquierdo, secuela
S65504*0*Unspecified injury of blood vessel of right ring finger*Lesión no especificada de vaso sanguíneo del dedo anular derecho
S65504A*1*Unsp injury of blood vessel of right ring finger, init*Lesión no especificada de vaso sanguíneo del dedo anular derecho, encuentro inicial
S65504D*1*Unsp injury of blood vessel of right ring finger, subs*Lesión no especificada de vaso sanguíneo del dedo anular derecho, encuentro posterior
S65504S*1*Unsp injury of blood vessel of right ring finger, sequela*Lesión no especificada de vaso sanguíneo del dedo anular derecho, secuela
S65505*0*Unspecified injury of blood vessel of left ring finger*Lesión no especificada de vaso sanguíneo del dedo anular izquierdo
S65505A*1*Unsp injury of blood vessel of left ring finger, init encntr*Lesión no especificada de vaso sanguíneo del dedo anular izquierdo, encuentro inicial
S66402S*1*Unsp inj intrns musc/fasc/tend l thm at wrs/hnd lv, sequela*Lesión no especificada de músculo intrínseco, fascia y tendón del pulgar izquierdo a nivel de la muñeca y la mano, secuela
S66409*0*Unsp injury of intrinsic musc/fasc/tend thmb at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano
S66409A*1*Unsp inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, init*Lesión no especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, encuentro inicial
S66409D*1*Unsp inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs*Lesión no especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, encuentro posterior
S66409S*1*Unsp inj intrns musc/fasc/tend thmb at wrs/hnd lv, sequela*Lesión no especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, secuela
S6641*0*Strain of intrinsic musc/fasc/tend thumb at wrs/hnd lv*Esguince de músculo intrínseco, fascia y tendón del pulgar al nivel de la muñeca y la mano
S66411*0*Strain of intrinsic musc/fasc/tend right thumb at wrs/hnd lv*Esguince de músculo intrínseco, fascia y tendón del pulgar derecho al nivel de la muñeca y la mano
S66411A*1*Strain of intrinsic musc/fasc/tend r thm at wrs/hnd lv, init*Esguince de músculo intrínseco, fascia y tendón del pulgar derecho al nivel de la muñeca y la mano, encuentro inicial
S66411D*1*Strain of intrinsic musc/fasc/tend r thm at wrs/hnd lv, subs*Esguince de músculo intrínseco, fascia y tendón del pulgar derecho al nivel de la muñeca y la mano, encuentro posterior
S66411S*1*Strain of intrns musc/fasc/tend r thm at wrs/hnd lv, sequela*Esguince de músculo intrínseco, fascia y tendón del pulgar derecho a nivel de muñeca y mano, secuela
S66412*0*Strain of intrinsic musc/fasc/tend left thumb at wrs/hnd lv*Esguince de músculo intrínseco, fascia y tendón del pulgar izquierdo al nivel de la muñeca y la mano
S66412A*1*Strain of intrinsic musc/fasc/tend l thm at wrs/hnd lv, init*Esguince de músculo intrínseco, fascia y tendón del pulgar izquierdo al nivel de la muñeca y la mano, encuentro inicial
S66412D*1*Strain of intrinsic musc/fasc/tend l thm at wrs/hnd lv, subs*Esguince de músculo intrínseco, fascia y tendón del pulgar izquierdo al nivel de la muñeca y la mano, encuentro posterior
S66412S*1*Strain of intrns musc/fasc/tend l thm at wrs/hnd lv, sequela*Esguince de músculo intrínseco, fascia y tendón del pulgar izquierdo a nivel de la muñeca y la mano, secuela
S66419*0*Strain of intrinsic musc/fasc/tend thmb at wrs/hnd lv*Esguince de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano
S66419A*1*Strain of intrinsic musc/fasc/tend thmb at wrs/hnd lv, init*Esguince de músculo intrínseco, fascia y tendón del pulgar no especificado al nivel de la muñeca y la mano, encuentro inicial
S66419D*1*Strain of intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs*Esguince de músculo intrínseco, fascia y tendón del pulgar no especificado al nivel de la muñeca y la mano, encuentro posterior
S66419S*1*Strain of intrns musc/fasc/tend thmb at wrs/hnd lv, sequela*Esguince de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, secuela
S6642*0*Laceration of intrinsic musc/fasc/tend thumb at wrs/hnd lv*Laceración del músculo intrínseco, la fascia y el tendón del pulgar a nivel de la muñeca y la mano
S66421*0*Lacerat intrinsic musc/fasc/tend right thumb at wrs/hnd lv*Laceración del músculo intrínseco, la fascia y el tendón del pulgar derecho a la altura de la muñeca y la mano
S66421A*1*Lacerat intrinsic musc/fasc/tend r thm at wrs/hnd lv, init*Laceración de músculo intrínseco, fascia y tendón del pulgar derecho a nivel de muñeca y mano, encuentro inicial
S66421D*1*Lacerat intrinsic musc/fasc/tend r thm at wrs/hnd lv, subs*Laceración del músculo intrínseco, fascia y tendón del pulgar derecho a nivel de la muñeca y la mano, encuentro posterior
S66421S*1*Lacerat intrns musc/fasc/tend r thm at wrs/hnd lv, sequela*Laceración de músculo intrínseco, fascia y tendón del pulgar derecho a nivel de muñeca y mano, secuela
S66422*0*Lacerat intrinsic musc/fasc/tend left thumb at wrs/hnd lv*Laceración del músculo intrínseco, la fascia y el tendón del pulgar izquierdo al nivel de la muñeca y la mano
S66422A*1*Lacerat intrinsic musc/fasc/tend l thm at wrs/hnd lv, init*Laceración de músculo intrínseco, fascia y tendón del pulgar izquierdo al nivel de la muñeca y la mano, encuentro inicial
S66422D*1*Lacerat intrinsic musc/fasc/tend l thm at wrs/hnd lv, subs*Laceración del músculo intrínseco, fascia y tendón del pulgar izquierdo a nivel de la muñeca y la mano, encuentro posterior
S66422S*1*Lacerat intrns musc/fasc/tend l thm at wrs/hnd lv, sequela*Laceración de músculo intrínseco, fascia y tendón del pulgar izquierdo a nivel de muñeca y mano, secuela
S66429*0*Laceration of intrinsic musc/fasc/tend thmb at wrs/hnd lv*Laceración de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano
S66429A*1*Lacerat intrinsic musc/fasc/tend thmb at wrs/hnd lv, init*Laceración de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, encuentro inicial
S66429D*1*Lacerat intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs*Laceración de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de la muñeca y la mano, encuentro posterior
S66429S*1*Lacerat intrinsic musc/fasc/tend thmb at wrs/hnd lv, sequela*Laceración de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de la muñeca y la mano, secuela
S6649*0*Inj intrinsic musc/fasc/tend thumb at wrist and hand level*Otra lesión especificada del músculo intrínseco, la fascia y el tendón del pulgar a nivel de la muñeca y la mano
S66491*0*Inj intrinsic musc/fasc/tend right thumb at wrs/hnd lv*Otra lesión especificada del músculo intrínseco, la fascia y el tendón del pulgar derecho a nivel de la muñeca y la mano
S66491A*1*Inj intrinsic musc/fasc/tend right thumb at wrs/hnd lv, init*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar derecho al nivel de la muñeca y la mano, encuentro inicial
S66491D*1*Inj intrinsic musc/fasc/tend right thumb at wrs/hnd lv, subs*Otra lesión especificada del músculo intrínseco, la fascia y el tendón del pulgar derecho a nivel de la muñeca y la mano, encuentro posterior
S66491S*1*Inj intrinsic musc/fasc/tend r thm at wrs/hnd lv, sequela*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar derecho a nivel de la muñeca y la mano, secuela
S66492*0*Inj intrinsic musc/fasc/tend left thumb at wrs/hnd lv*Otra lesión especificada del músculo intrínseco, la fascia y el tendón del pulgar izquierdo al nivel de la muñeca y la mano
S66492A*1*Inj intrinsic musc/fasc/tend left thumb at wrs/hnd lv, init*Otra lesión especificada del músculo intrínseco, la fascia y el tendón del pulgar izquierdo al nivel de la muñeca y la mano, encuentro inicial
S66492D*1*Inj intrinsic musc/fasc/tend left thumb at wrs/hnd lv, subs*Otra lesión especificada del músculo intrínseco, la fascia y el tendón del pulgar izquierdo al nivel de la muñeca y la mano, encuentro posterior
S66492S*1*Inj intrinsic musc/fasc/tend l thm at wrs/hnd lv, sequela*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar izquierdo a nivel de la muñeca y la mano, secuela
S70*0*Superficial injury of hip and thigh*Lesión superficial de cadera y muslo
S700*0*Contusion of hip*Contusión de cadera
S7000*0*Contusion of unspecified hip*Contusión de cadera no especificada
S7000XA*1*Contusion of unspecified hip, initial encounter*Contusión de cadera no especificada, encuentro inicial
S7000XD*1*Contusion of unspecified hip, subsequent encounter*Contusión de cadera no especificada, encuentro posterior
S7000XS*1*Contusion of unspecified hip, sequela*Contusión de cadera no especificada, secuela
S7001*0*Contusion of right hip*Contusión de cadera derecha
S7001XA*1*Contusion of right hip, initial encounter*Contusión de cadera derecha, encuentro inicial
S7001XD*1*Contusion of right hip, subsequent encounter*Contusión de cadera derecha, encuentro posterior
S7001XS*1*Contusion of right hip, sequela*Contusión de cadera derecha, secuela
S7002*0*Contusion of left hip*Contusión de cadera izquierda
S7002XA*1*Contusion of left hip, initial encounter*Contusión de cadera izquierda, encuentro inicial
S7002XD*1*Contusion of left hip, subsequent encounter*Contusión de cadera izquierda, encuentro posterior
S7002XS*1*Contusion of left hip, sequela*Contusión de cadera izquierda, secuela
S701*0*Contusion of thigh*Contusión de muslo
S7010*0*Contusion of unspecified thigh*Contusión de muslo no especificado
S7010XA*1*Contusion of unspecified thigh, initial encounter*Contusión de muslo no especificado, encuentro inicial
S7010XD*1*Contusion of unspecified thigh, subsequent encounter*Contusión de muslo no especificado, encuentro posterior
S7010XS*1*Contusion of unspecified thigh, sequela*Contusión de muslo no especificado, secuela
S7011*0*Contusion of right thigh*Contusión del muslo derecho
S7011XA*1*Contusion of right thigh, initial encounter*Contusión del muslo derecho, encuentro inicial
S7011XD*1*Contusion of right thigh, subsequent encounter*Contusión de muslo derecho, encuentro posterior
S7011XS*1*Contusion of right thigh, sequela*Contusión de muslo derecho, secuela
S7012*0*Contusion of left thigh*Contusión del muslo izquierdo
S7012XA*1*Contusion of left thigh, initial encounter*Contusión del muslo izquierdo, encuentro inicial
S7012XD*1*Contusion of left thigh, subsequent encounter*Contusión de muslo izquierdo, encuentro posterior
S7012XS*1*Contusion of left thigh, sequela*Contusión de muslo izquierdo, secuela
S702*0*Other superficial injuries of hip*Otras lesiones superficiales de la cadera
S7021*0*Abrasion of hip*Abrasión de cadera
S70211*0*Abrasion, right hip*Abrasión, cadera derecha
S70211A*1*Abrasion, right hip, initial encounter*Abrasión, cadera derecha, encuentro inicial
S70211D*1*Abrasion, right hip, subsequent encounter*Abrasión, cadera derecha, encuentro posterior
S70211S*1*Abrasion, right hip, sequela*Abrasión, cadera derecha, secuela
S70212*0*Abrasion, left hip*Abrasión, cadera izquierda
S70212A*1*Abrasion, left hip, initial encounter*Abrasión, cadera izquierda, encuentro inicial
S70212D*1*Abrasion, left hip, subsequent encounter*Abrasión, cadera izquierda, encuentro posterior
S70212S*1*Abrasion, left hip, sequela*Abrasión, cadera izquierda, secuela
S70219*0*Abrasion, unspecified hip*Abrasión, cadera no especificada
S70219A*1*Abrasion, unspecified hip, initial encounter*Abrasión, cadera no especificada, encuentro inicial
S70219D*1*Abrasion, unspecified hip, subsequent encounter*Abrasión, cadera no especificada, encuentro posterior
S70219S*1*Abrasion, unspecified hip, sequela*Abrasión, cadera no especificada, secuela
S7022*0*Blister (nonthermal) of hip*Ampolla (no térmica) de cadera
S70221*0*Blister (nonthermal), right hip*Ampolla (no térmica), cadera derecha
S70221A*1*Blister (nonthermal), right hip, initial encounter*Ampolla (no térmica), cadera derecha, encuentro inicial
S70221D*1*Blister (nonthermal), right hip, subsequent encounter*Ampolla (no térmica), cadera derecha, encuentro posterior
S70221S*1*Blister (nonthermal), right hip, sequela*Ampolla (no térmica), cadera derecha, secuela
S70222*0*Blister (nonthermal), left hip*Ampolla (no térmica), cadera izquierda
S70222A*1*Blister (nonthermal), left hip, initial encounter*Ampolla (no térmica), cadera izquierda, encuentro inicial
S70222D*1*Blister (nonthermal), left hip, subsequent encounter*Ampolla (no térmica), cadera izquierda, encuentro posterior
S70222S*1*Blister (nonthermal), left hip, sequela*Ampolla (no térmica), cadera izquierda, secuela
S70229*0*Blister (nonthermal), unspecified hip*Ampolla (no térmica), cadera no especificada
S70229A*1*Blister (nonthermal), unspecified hip, initial encounter*Ampolla (no térmica), cadera no especificada, encuentro inicial
S70229D*1*Blister (nonthermal), unspecified hip, subsequent encounter*Ampolla (no térmica), cadera no especificada, encuentro posterior
S70229S*1*Blister (nonthermal), unspecified hip, sequela*Ampolla (no térmica), cadera no especificada, secuela
S7024*0*External constriction of hip*Constricción externa de la cadera
S70241*0*External constriction, right hip*Constricción externa, cadera derecha
S70241A*1*External constriction, right hip, initial encounter*Constricción externa, cadera derecha, encuentro inicial
S70241D*1*External constriction, right hip, subsequent encounter*Constricción externa, cadera derecha, encuentro posterior
S70241S*1*External constriction, right hip, sequela*Constricción externa, cadera derecha, secuela
S70242*0*External constriction, left hip*Constricción externa, cadera izquierda
S70242A*1*External constriction, left hip, initial encounter*Constricción externa, cadera izquierda, encuentro inicial
S70242D*1*External constriction, left hip, subsequent encounter*Constricción externa, cadera izquierda, encuentro posterior
S70242S*1*External constriction, left hip, sequela*Constricción externa, cadera izquierda, secuela
S70249*0*External constriction, unspecified hip*Constricción externa, cadera no especificada
S70249A*1*External constriction, unspecified hip, initial encounter*Constricción externa, cadera no especificada, encuentro inicial
S70249D*1*External constriction, unspecified hip, subsequent encounter*Constricción externa, cadera no especificada, encuentro posterior
S70249S*1*External constriction, unspecified hip, sequela*Constricción externa, cadera no especificada, secuela
S7025*0*Superficial foreign body of hip*Cuerpo extraño superficial de cadera
S70251*0*Superficial foreign body, right hip*Cuerpo extraño superficial, cadera derecha
S70251A*1*Superficial foreign body, right hip, initial encounter*Cuerpo extraño superficial, cadera derecha, encuentro inicial
S70251D*1*Superficial foreign body, right hip, subsequent encounter*Cuerpo extraño superficial, cadera derecha, encuentro posterior
S70251S*1*Superficial foreign body, right hip, sequela*Cuerpo extraño superficial, cadera derecha, secuela
S70252*0*Superficial foreign body, left hip*Cuerpo extraño superficial, cadera izquierda
S70252A*1*Superficial foreign body, left hip, initial encounter*Cuerpo extraño superficial, cadera izquierda, encuentro inicial
S70252D*1*Superficial foreign body, left hip, subsequent encounter*Cuerpo extraño superficial, cadera izquierda, encuentro posterior
S70252S*1*Superficial foreign body, left hip, sequela*Cuerpo extraño superficial, cadera izquierda, secuela
S72046R*1*Nondisp fx of base of nk of unsp femr, 7thR*Fractura no desplazada de la base del cuello del fémur no especificado, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con consolidación defectuosa
S72065E*1*Nondisp artic fx head of l femr, 7thE*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo I o II con curación de rutina
S72065F*1*Nondisp artic fx head of l femr, 7thF*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con curación de rutina
S72065G*1*Nondisp artic fx head of l femr, 7thG*Fractura articular no desplazada de la cabeza del fémur izquierdo, posterior encuentro por fractura cerrada con cicatrización tardía
S72065H*1*Nondisp artic fx head of l femr, 7thH*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo I o II con curación retrasada
S72065J*1*Nondisp artic fx head of l femr, 7thJ*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con curación tardía
S72065K*1*Nondisp artic fx head of l femr, subs for clos fx w nonunion*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura cerrada con seudoartrosis
S72065M*1*Nondisp artic fx head of l femr, 7thM*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo I o II con seudoartrosis
S72065N*1*Nondisp artic fx head of l femr, 7thN*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con seudoartrosis
S72065P*1*Nondisp artic fx head of l femr, subs for clos fx w malunion*Fractura articular no desplazada de la cabeza del fémur izquierdo, posterior encuentro por fractura cerrada con consolidación defectuosa
S72065Q*1*Nondisp artic fx head of l femr, 7thQ*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo I o II con consolidación defectuosa
S72065R*1*Nondisp artic fx head of l femr, 7thR*Fractura articular no desplazada de la cabeza del fémur izquierdo, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con consolidación defectuosa
S72065S*1*Nondisp articular fracture of head of left femur, sequela*Fractura articular no desplazada de la cabeza del fémur izquierdo, secuela
S72066*0*Nondisplaced articular fracture of head of unspecified femur*Fractura articular no desplazada de la cabeza del fémur no especificado
S72066A*1*Nondisplaced articular fracture of head of unsp femur, init*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro inicial por fractura cerrada
S72066B*1*Nondisp artic fx head of unsp femr, init for opn fx type I/2*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro inicial para fractura abierta tipo I o II
S72066C*1*Nondisp artic fx head of unsp femr, 7thC*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro inicial para fractura abierta tipo IIIA, IIIB o IIIC
S72066D*1*Nondisp artic fx head of unsp femr, 7thD*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura cerrada con curación de rutina
S72066E*1*Nondisp artic fx head of unsp femr, 7thE*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo I o II con curación de rutina
S72066F*1*Nondisp artic fx head of unsp femr, 7thF*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con curación de rutina
S72066G*1*Nondisp artic fx head of unsp femr, 7thG*Fractura articular no desplazada de la cabeza del fémur no especificado, posterior encuentro por fractura cerrada con cicatrización tardía
S72066H*1*Nondisp artic fx head of unsp femr, 7thH*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo I o II con curación tardía
S72066J*1*Nondisp artic fx head of unsp femr, 7thJ*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con curación tardía
S72066K*1*Nondisp artic fx head of unsp femr, 7thK*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura cerrada con seudoartrosis
S72066M*1*Nondisp artic fx head of unsp femr, 7thM*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo I o II con seudoartrosis
S72066N*1*Nondisp artic fx head of unsp femr, 7thN*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con seudoartrosis
S72066P*1*Nondisp artic fx head of unsp femr, 7thP*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura cerrada con consolidación defectuosa
S72066Q*1*Nondisp artic fx head of unsp femr, 7thQ*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo I o II con consolidación defectuosa
S72066R*1*Nondisp artic fx head of unsp femr, 7thR*Fractura articular no desplazada de la cabeza del fémur no especificado, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con consolidación defectuosa
S72066S*1*Nondisp articular fracture of head of unsp femur, sequela*Fractura articular no desplazada de cabeza de fémur no especificado, secuela
S7209*0*Other fracture of head and neck of femur*Otra fractura de cabeza y cuello de fémur
S72091*0*Other fracture of head and neck of right femur*Otra fractura de cabeza y cuello del fémur derecho
S72091A*1*Oth fracture of head and neck of right femur, init*Otra fractura de cabeza y cuello del fémur derecho, encuentro inicial por fractura cerrada
S72091B*1*Oth fx head/neck of right femur, init for opn fx type I/2*Otra fractura de cabeza y cuello del fémur derecho, encuentro inicial por fractura abierta tipo I o II
S72091C*1*Oth fx head/neck of right femur, init for opn fx type 3A/B/C*Otra fractura de cabeza y cuello del fémur derecho, encuentro inicial por fractura abierta tipo IIIA, IIIB o IIIC
S72091D*1*Oth fx head/neck of r femur, subs for clos fx w routn heal*Otra fractura de cabeza y cuello del fémur derecho, encuentro posterior por fractura cerrada con curación de rutina
S72091E*1*Oth fx head/neck of r femr, 7thE*Otra fractura de cabeza y cuello del fémur derecho, encuentro posterior por fractura abierta tipo I o II con curación de rutina
S72091F*1*Oth fx head/neck of r femr, 7thF*Otra fractura de cabeza y cuello del fémur derecho, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con curación de rutina
S72091G*1*Oth fx head/neck of r femur, subs for clos fx w delay heal*Otra fractura de cabeza y cuello del fémur derecho, encuentro posterior por fractura cerrada con curación tardía
S72091H*1*Oth fx head/neck of r femr, 7thH*Otra fractura de cabeza y cuello del fémur derecho, encuentro posterior por fractura abierta tipo I o II con curación tardía
S72091J*1*Oth fx head/neck of r femr, 7thJ*Otra fractura de cabeza y cuello del fémur derecho, encuentro posterior por fractura abierta tipo IIIA, IIIB o IIIC con curación tardía
S65505S*1*Unsp injury of blood vessel of left ring finger, sequela*Lesión no especificada de vaso sanguíneo del dedo anular izquierdo, secuela
S65506*0*Unspecified injury of blood vessel of right little finger*Lesión no especificada de vaso sanguíneo del dedo meñique derecho
S65506A*1*Unsp injury of blood vessel of right little finger, init*Lesión no especificada de vaso sanguíneo del dedo meñique derecho, encuentro inicial
S65506D*1*Unsp injury of blood vessel of right little finger, subs*Lesión no especificada de vaso sanguíneo del dedo meñique derecho, encuentro posterior
